NTP server number,NTP server IP/URL,Attempts,NTP status,Local time,Offset,Time tuple,Synchronization status
1,ntp1.inm.gov.co,1,True,2024-12-19 10:00:52.261568,-0.8988485336303711,"(2024, 12, 4, 19, 15, 0, 51, 362)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:01:01.376133,0.0021877288818359375,"(2024, 12, 4, 19, 15, 1, 1, 378)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:01:11.393005,0.0008068084716796875,"(2024, 12, 4, 19, 15, 1, 11, 393)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:01:21.404105,0.0017652511596679688,"(2024, 12, 4, 19, 15, 1, 21, 405)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:01:31.442232,0.0021457672119140625,"(2024, 12, 4, 19, 15, 1, 31, 444)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:01:41.464767,0.0012791156768798828,"(2024, 12, 4, 19, 15, 1, 41, 466)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:01:51.506139,0.0014100074768066406,"(2024, 12, 4, 19, 15, 1, 51, 507)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:02:01.525164,0.0018186569213867188,"(2024, 12, 4, 19, 15, 2, 1, 526)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:02:11.561328,0.0020351409912109375,"(2024, 12, 4, 19, 15, 2, 11, 563)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:02:21.571996,0.001786947250366211,"(2024, 12, 4, 19, 15, 2, 21, 573)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:02:31.589193,0.0011699199676513672,"(2024, 12, 4, 19, 15, 2, 31, 590)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:02:41.603095,0.0017549991607666016,"(2024, 12, 4, 19, 15, 2, 41, 604)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:02:51.627914,0.0016286373138427734,"(2024, 12, 4, 19, 15, 2, 51, 629)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:03:01.642657,0.0020341873168945312,"(2024, 12, 4, 19, 15, 3, 1, 644)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:03:11.669947,0.002056598663330078,"(2024, 12, 4, 19, 15, 3, 11, 672)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:03:21.687332,0.0012545585632324219,"(2024, 12, 4, 19, 15, 3, 21, 688)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:03:31.716337,0.0008792877197265625,"(2024, 12, 4, 19, 15, 3, 31, 717)",OK
1,ntp1.inm.gov.co,1,True,2024-12-19 10:03:41.737446,0.002507448196411133,"(2024, 12, 4, 19, 15, 3, 41, 739)",OK
